lower,snake
abbreviation,abbreviation
acceptedsynonym,accepted_synonym
accessdate,access_date
accessioncode,accession_code
additionalinfo,additional_info
addl_stmt,addl_stmt
address_id,address_id
addressstartdate,address_start_date
administrativearea,administrative_area
area,area
attributename,attribute_name
authordatum,author_datum
authore,author_e
authorlocation,author_location
authorn,author_n
authorobscode,author_obs_code
authorplantname,author_plant_name
authorplotcode,author_plot_code
authorzone,author_zone
autotaxoncover,auto_taxon_cover
azimuth,azimuth
basalarea,basal_area
basesaturation,base_saturation
begin_time,begin_time
biomass,biomass
bryophytequality,bryophyte_quality
cache_key,cache_key
cache_label,cache_label
cache_order,cache_order
calculated,calculated
certificationstatus,certification_status
certificationstatuscomments,certification_status_comments
chapternumber,chapter_number
cheatrole,cheat_role
childcommstatus_id,child_comm_status_id
childparty_id,child_party_id
childplace_id,child_place_id
childplantstatus_id,child_plant_status_id
city,city
classconfidence,class_confidence
classcontributor_id,class_contributor_id
classfit,class_fit
classnotes,class_notes
classpublication_id,class_publication_id
classstartdate,class_start_date
classstopdate,class_stop_date
classsystem,class_system
code,code
codeisused,code_is_used
collectiondate,collection_date
collectionnumber,collection_number
collector_id,collector_id
commauthority_id,comm_authority_id
commclass_id,comm_class_id
commclassaccessioncode,comm_class_accession_code
commcode,comm_code
commconcept_id,comm_concept_id
commconceptaccessioncode,comm_concept_accession_code
commconceptstatus,comm_concept_status
commconvergence,comm_convergence
commcorrelation_id,comm_correlation_id
commdescription,comm_description
commframework,comm_framework
comminterpretation_id,comm_interpretation_id
commlevel,comm_level
commlineage_id,comm_lineage_id
commname,comm_name
commname_id,comm_name_id
commnamedateentered,comm_name_date_entered
commnamereferenceid,comm_name_reference_id
commnamestatus,comm_name_status
common,common
commparent_id,comm_parent_id
commpartycomments,comm_party_comments
commstatus_id,comm_status_id
communicationtype,communication_type
communities,communities
commusage_id,comm_usage_id
conferencedate,conference_date
confidentialityreason,confidentiality_reason
confidentialityshorttext,confidentiality_short_text
confidentialitystatus,confidentiality_status
confidentialitytext,confidentiality_text
confirmcode,confirm_code
